Topaz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Attired, Duchess, Short, in shape, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, full breasts, Faux gauge earrings, magenta metallic lipstick
Tanzanite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Bedraped, Lady, Average Height, in shape, Heart-Shaped Face, Olive Skin, White Hair, silver Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Side French Braid, round breasts, Hoop earrings, burgundy stain lipstick
Opal, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Robed, Seductress, Average Height, Fit, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, perky breasts, Cuff earrings, gloss gloss lipstick
Sapphire, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Festooned, Luminary, Average Height, Lean, Triangular Face, Fair Skin, Red Hair, black Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Low Chignon, perky breasts, Drop earrings, lavender matte lipstick
Opal, A crystalized formation with jagged edges, resembling a miniature mountain range, Donned in, Miss, Tall, in shape, Triangular Face, Dark Skin, Chestnut Hair, aquamarine Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Messy Bun, augmented breasts, , teal gloss lipstick
Opal, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Draped, Gal, Average Height, in shape, Oval Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Low Updo, saggy breasts, Cuff earrings, coral stain lipstick
Tanzanite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Covered, Maven, Tall, Narrow Hips, Oval Face, Tan Skin, Brunette Hair, aquamarine Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, small breasts, Threader earrings, peach gloss lipstick
Tanzanite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Togged, Vixen, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, grey Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Blunt Cut Bangs, firm breasts, , lavender satin lipstick
Aventurine, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Veiled, Lady, Short, Lean, Heart-Shaped Face, Tan Skin, Light Brown Hair, aquamarine Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, High Bun, perky breasts, Clip-on earrings, golden matte lipstick
Hematite, A network of crystalized branches, capturing the beauty of nature's delicate formations, Decked, Woman, Average Height, Toned, Diamond-Shaped Face, Dark Skin, Black Hair, gold Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, firm breasts, Hoop earrings, cream velvet lipstick
Hematite, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Curtained, Belle, Average Height, Athletic, Square Face, Tan Skin, Honey Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, High Ponytail, soft breasts, Dangle earrings, violet sheer lipstick
Aquamarine, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Gowned, Enigma, Short, Firm, Square Face, Fair Skin, Red Hair, ice blue Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Bangs with Highlights, perky breasts, Hoop earrings, orange sheer lipstick
Labradorite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Wrapped up, Madam, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Auburn Hair, aquamarine Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Frohawk, firm breasts, Clip-on earrings, golden metallic lipstick
Quartz, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Wrapped, Songstress, Short, Thin, Diamond-Shaped Face, Fair Skin, Blonde Hair, pink Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Fancy Updo, round breasts, Faux gauge earrings, berry velvet lipstick
Lapis Lazuli, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Wrapped up, Madame, Average Height, Narrow Hips, Round Face, Dark Skin, Gray Hair, aquamarine Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Braided Updo, saggy breasts, Cuff earrings, coral velvet lipstick
Citrine, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Bedecked, Maven, Average Height, Thin, Triangular Face, Tan Skin, Chestnut Hair, Brown Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, firm breasts, Faux gauge earrings, berry velvet lipstick
Amethyst, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Festooned, Baroness, Average Height, Lean, Oval Face, Fair Skin, Chestnut Hair, blue Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Low Messy Bun, large breasts, Cuff earrings, soft pink metallic lipstick
Aquamarine, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Mantled, Visionary, Average Height, Athletic, Diamond-Shaped Face, Tan Skin, Chestnut Hair, turquoise Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, natural breasts, Cuff earrings, pink sheer lipstick
Aventurine, A crystalized formation with sharp edges and intricate geometric patterns, Decked out, Countess, Short, Firm, Oval Face, Olive Skin, Platinum Blonde Hair, blue Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Triple Braided Crown, large breasts, Dangle earrings, plum cream lipstick
Topaz, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Sporting, Goddess, Tall, Toned, Round Face, Dark Skin, Black Hair, brown Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, large breasts, Hoop earrings, beige metallic lipstick
Amethyst, A crystalized formation with jagged edges, resembling a miniature mountain range, Bedraped, Madam, Short, Wide Hips, Square Face, Tan Skin, Brunette Hair, yellow Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Half Up Half Down, firm breasts, Clip-on earrings, rust matte lipstick
Turquoise, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Draped, Sensation, Tall, in shape, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Amber Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Short Afro, augmented breasts, , fuchsia gloss lipstick
Opal, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Adorned, Vixen, Average Height, Slim, Square Face, Fair Skin, Silver Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Low Updo, firm breasts, Drop earrings, peach metallic lipstick
Emerald, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Shrouded, Belle, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Chestnut Hair, Brown Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, natural breasts, Faux gauge earrings, terracotta velvet lipstick
Quartz, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Curtained, Dame, Average Height, Toned, Triangular Face, Tan Skin, Golden Blonde Hair, hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Bun, natural breasts, , black satin lipstick
Topaz, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Caparisoned, Siren, Average Height, Athletic, Triangular Face, Tan Skin, Honey Blonde Hair, Blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Donut Bun, small breasts, Faux gauge earrings, coral stain lipstick
Pearl, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Mantled, Escort, Short, Skinny, Oval Face, Dark Skin, Black Hair, ruby Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Fringed Bangs, perky breasts, Clip-on earrings, rust stain lipstick
Diamond, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Mantled, Lady, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Auburn Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Side Bangs, augmented breasts, Stud earrings, brown sheer lipstick
Iolite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Covered, Heiress, Tall, Lean, Triangular Face, Dark Skin, Brunette Hair, silver Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Angled Bob, augmented breasts, Huggie earrings, pink gloss lipstick
Tanzanite, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Caparisoned, Maven, Short, Skinny, Heart-Shaped Face, Tan Skin, Silver Hair, Blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, full breasts, Threader earrings, mauve matte lipstick
Garnet, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Garbed, Duchess, Tall, Lean, Square Face, Olive Skin, Dark Brown Hair, Green Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Wavy Layered Bob, large breasts, Huggie earrings, gloss sheer lipstick
Emerald, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Wrapped up, Madam, Average Height, Slim, Oval Face, Tan Skin, Light Brown Hair, grey Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, full breasts, Drop earrings, violet cream lipstick
Agate, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Togged, Mistress, Average Height, Toned, Diamond-Shaped Face, Dark Skin, Blonde Hair, purple Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Blunt Bangs, firm breasts, Hoop earrings, berry matte lipstick
Turquoise, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Clad, Gal, Short, in shape, Heart-Shaped Face, Dark Skin, Blonde Hair, Brown Eyes with Green Flecks, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Curled Bob, asymmetrical breasts, Huggie earrings, cherry velvet lipstick
Tanzanite, A crystalized formation with sharp edges and intricate geometric patterns, Wrapped up, Female Viking, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Chestnut Hair, peach Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Low Ponytail, firm breasts, , plum stain lipstick
Citrine, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Bedraped, Gal, Tall, Slim, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, pink Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, perky breasts, Hoop earrings, berry satin lipstick
Diamond, A crystalized formation with sharp edges and intricate geometric patterns, Adorned with, Baroness, Tall, Narrow Hips, Triangular Face, Fair Skin, Gray Hair, amethyst Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Thick Hair, French Braid, full breasts, Threader earrings, red satin lipstick
Lapis Lazuli, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Swathed, Siren, Short, Firm, Square Face, Dark Skin, Silver Hair, Hazel Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Sleek Straight Hair, full breasts, , black velvet lipstick
Moonstone, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Wearing, Artist, Tall, Skinny, Round Face, Dark Skin, Auburn Hair, Amber Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Half Up Half Down, full breasts, Huggie earrings, cherry cream lipstick
Diamond, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Donned in, Chanteuse, Tall, in shape, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, gold Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, asymmetrical breasts, Huggie earrings, soft pink velvet lipstick
Lapis Lazuli, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Decked out, Heiress, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, coral Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Fishtail Crown Braid, natural breasts, Dangle earrings, magenta velvet lipstick
Lapis Lazuli, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Wrapped, Countess, Tall, Athletic, Diamond-Shaped Face, Tan Skin, Blonde Hair, jade Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Long Curly Hair, large breasts, Threader earrings, brown velvet lipstick
Citrine, Transparent crystals that refract light, casting beautiful prisms and rainbows, Decked out, Woman, Tall, Slim, Square Face, Olive Skin, Brunette Hair, jade Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Smooth Waves, augmented breasts, , cream stain lipstick
Peridot, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Caparisoned, Enchantress, Short, Slim, Round Face, Olive Skin, Platinum Blonde Hair, Sapphire Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Sock Bun, round breasts, Stud earrings, burgundy satin lipstick
Jade, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Swathed, Trailblazer, Short, Lean, Square Face, Fair Skin, Platinum Blonde Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Short Afro, saggy breasts, Threader earrings, rust cream lipstick
Sapphire, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Shrouded, Baroness, Tall, Thin, Square Face, Fair Skin, Blonde Hair, silver Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Low Messy Bun, augmented breasts, Huggie earrings, burgundy stain lipstick
Sapphire, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Vestured, Artist, Average Height, Wide Hips, Square Face, Fair Skin, Light Brown Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, perky breasts, Hoop earrings, magenta velvet lipstick
Opal, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Vestured, Starlet, Average Height, Slim, Heart-Shaped Face, Olive Skin, Blonde Hair, amber Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Frohawk, full breasts, Hoop earrings, green gloss lipstick
Moonstone, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Clothed in, Duchess, Short, Wide Hips, Square Face, Olive Skin, Dark Brown Hair, Sapphire Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Loose Waves, firm breasts, Threader earrings, fuchsia cream lipstick
Obsidian, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Hooded, Vixen, Tall, Fit, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Four-Strand Braid, small breasts, , magenta cream lipstick
Agate, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Dressed, Gal, Tall, Fit, Round Face, Fair Skin, Chestnut Hair, peach Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, full breasts, Hoop earrings, burgundy matte lipstick
Lapis Lazuli, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Robed, Woman, Average Height, Toned, Square Face, Tan Skin, Dark Brown Hair, teal Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Tousled Waves, augmented breasts, Stud earrings, rose gloss lipstick
Amethyst, Transparent crystals that refract light, casting beautiful prisms and rainbows, Bedizened, Empress, Tall, Toned, Round Face, Olive Skin, Dark Brown Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Boho Braid, full breasts, Cuff earrings, lavender matte lipstick
Tourmaline, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Bedraped, Heiress, Short, Thin, Heart-Shaped Face, Tan Skin, Silver Hair, dark brown Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Smooth Waves, full breasts, Cuff earrings, violet sheer lipstick
Quartz, Crystals that grow in clusters, creating a textured and multidimensional surface, Enrobed, Escort, Tall, Slim, Oval Face, Olive Skin, Auburn Hair, Sapphire Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Braided Updo, soft breasts, Huggie earrings, gloss velvet lipstick
Peridot, A crystalized formation with sharp edges and intricate geometric patterns, Shrouded, Gal, Short, Firm, Round Face, Tan Skin, Silver Hair, black Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Chignon, soft breasts, Threader earrings, brown velvet lipstick
Garnet, A network of crystalized branches, capturing the beauty of nature's delicate formations, Togged, Vixen, Tall, Firm, Triangular Face, Tan Skin, Red Hair, jade Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Blunt Cut Bangs, full breasts, Faux gauge earrings, teal sheer lipstick
Hematite, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Gowned, Superwoman, Tall, Thin, Heart-Shaped Face, Olive Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Donut Bun, perky breasts, Huggie earrings, cherry sheer lipstick
Malachite, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Adorned, Countess, Average Height, in shape, Oval Face, Tan Skin, Golden Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Long Curled Updo, full breasts, Clip-on earrings, plum stain lipstick
Labradorite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Vestured, Countess, Average Height, Firm, Triangular Face, Olive Skin, Honey Blonde Hair, blue Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Low Chignon, saggy breasts, Stud earrings, green cream lipstick
Opal, Crystals that grow in clusters, creating a textured and multidimensional surface, Wearing, Phenom, Average Height, Fit, Oval Face, Dark Skin, Platinum Blonde Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Bun, soft breasts, Cuff earrings, hot pink cream lipstick
Jade, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Festooned, Songstress, Tall, Athletic, Square Face, Fair Skin, Golden Blonde Hair, Hazel Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Blunt Cut Bangs, full breasts, Dangle earrings, beige satin lipstick
Jade, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Outfitted, Female Warrior, Average Height, Wide Hips, Oval Face, Tan Skin, Chestnut Hair, silver Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Afro, large breasts, Threader earrings, fuchsia cream lipstick
Amethyst, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Dressed, Miss, Average Height, Wide Hips, Round Face, Tan Skin, White Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Middle Part Bangs, saggy breasts, Clip-on earrings, beige satin lipstick
Aventurine, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Enrobed, Goddess, Tall, Firm, Heart-Shaped Face, Fair Skin, Blonde Hair, dark brown Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Sleek Bun, saggy breasts, Stud earrings, beige sheer lipstick
Rhodochrosite, A network of crystalized branches, capturing the beauty of nature's delicate formations, Adorned, Artist, Average Height, Skinny, Oval Face, Dark Skin, Brunette Hair, Brown Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Half Up Half Down, large breasts, Cuff earrings, mauve metallic lipstick
Lapis Lazuli, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Dressed, Temptress, Average Height, in shape, Triangular Face, Dark Skin, Gray Hair, grey-blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Middle Part Bangs, large breasts, Huggie earrings, coral gloss lipstick
Tourmaline, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Covered, Superwoman, Average Height, Firm, Diamond-Shaped Face, Olive Skin, White Hair, red Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Long Straight Hair, perky breasts, Stud earrings, light pink cream lipstick
Tanzanite, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Dressed, Baroness, Tall, Toned, Round Face, Olive Skin, Blonde Hair, yellow Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Boho Braid, saggy breasts, Clip-on earrings, soft pink gloss lipstick
Turquoise, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Habited, Enigma, Average Height, Narrow Hips, Oval Face, Fair Skin, Strawberry Blonde Hair, grey-blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, perky breasts, Hoop earrings, green matte lipstick
Pearl, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Draped, Female Warrior, Average Height, in shape, Square Face, Tan Skin, Platinum Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, full breasts, Clip-on earrings, cream stain lipstick
Obsidian, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Swathed, Phenom, Short, Thin, Square Face, Dark Skin, Blonde Hair, ruby Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, natural breasts, , lavender velvet lipstick
Sapphire, Crystals that grow in clusters, creating a textured and multidimensional surface, Habited, Sensation, Short, Fit, Round Face, Olive Skin, Strawberry Blonde Hair, Gray Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Messy Bun, full breasts, Huggie earrings, pink gloss lipstick
Tourmaline, Transparent crystals that refract light, casting beautiful prisms and rainbows, Shrouded, Temptress, Tall, in shape, Diamond-Shaped Face, Fair Skin, Blonde Hair, amethyst Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Messy Bun, augmented breasts, Stud earrings, rose satin lipstick
Pearl, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Bedecked, Visionary, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Red Hair, peach Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Bun, small breasts, , light pink satin lipstick
Turquoise, A crystalized formation with jagged edges, resembling a miniature mountain range, Shrouded, Visionary, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Light Brown Hair, ice blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Wavy Hair, Fishtail Braid, asymmetrical breasts, Dangle earrings, pink velvet lipstick
Hematite, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Garbed, Sensation, Short, Skinny, Heart-Shaped Face, Tan Skin, White Hair, brown Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Loose Waves, natural breasts, Hoop earrings, black satin lipstick
Alexandrite, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Attired, Lady, Average Height, in shape, Triangular Face, Dark Skin, Strawberry Blonde Hair, purple Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Messy Beach Waves, firm breasts, Huggie earrings, golden satin lipstick
