Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Miss, Short, Narrow Hips, Round Face, Olive Skin, Dark Brown Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Triple Braided Crown, small breasts, Hoop earrings, teal cream lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), Dystopian metropolis
Babe, Tall, Thin, Oval Face, Olive Skin, Dark Brown Hair, pink Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, natural breasts, Drop earrings, black cream lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Underwater research facility
Escort, Average Height, Thin, Oval Face, Fair Skin, Light Brown Hair, Gray Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, large breasts, Stud earrings, beige velvet lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), City floating in the clouds
Babe, Short, Fit, Square Face, Olive Skin, Gray Hair, jade Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fringed Bangs, large breasts, Huggie earrings, red metallic lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Post-apocalyptic wasteland
Femme fatale, Short, Slim, Round Face, Fair Skin, Blonde Hair, peach Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Short Afro, asymmetrical breasts, Hoop earrings, rose metallic lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Frozen tundra with icy mountains
Countess, Tall, Skinny, Oval Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Formal Updo, firm breasts, Dangle earrings, violet velvet lipstick,  inside ((  wearing  Swimwear )), Alien planet with bioluminescent flora
Artist, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Brunette Hair, teal Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Waterfall Braid, perky breasts, Cuff earrings, mauve sheer lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), City floating in the clouds
Charmer, Average Height, Wide Hips, Square Face, Fair Skin, White Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Bouncy Curls, large breasts, Dangle earrings, beige metallic lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Giant space station
Charmer, Tall, Thin, Oval Face, Fair Skin, Gray Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Wavy Updo, augmented breasts, Dangle earrings, plum velvet lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Alien planet with bioluminescent flora
Artist, Short, Toned, Heart-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, augmented breasts, Hoop earrings, pink satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Barren desert planet
Trailblazer, Tall, Toned, Heart-Shaped Face, Olive Skin, Auburn Hair, Sapphire Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Four-Strand Braid, round breasts, Huggie earrings, grape metallic lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Dystopian metropolis
Duchess, Tall, Fit, Square Face, Dark Skin, Chestnut Hair, grey-blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, High Messy Bun, small breasts, Cuff earrings, grape satin lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Alien planet with bioluminescent flora
Gal, Average Height, Toned, Triangular Face, Olive Skin, White Hair, blue Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Straight Bob with Layers, augmented breasts, Stud earrings, red sheer lipstick,  inside ((  wearing  Athletic jumpsuit )), Giant space station
Artist, Tall, Firm, Oval Face, Dark Skin, Blonde Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Fine Hair, French Twist, small breasts, Drop earrings, red satin lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Barren desert planet
Escort, Short, Slim, Triangular Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Bun, perky breasts, Stud earrings, rust stain lipstick,  inside ((  wearing  Track pants and running singlet )), Post-apocalyptic wasteland
Female Viking, Tall, Athletic, Oval Face, Olive Skin, Dark Brown Hair, amber Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Messy Bun, full breasts, Hoop earrings, berry metallic lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Jungle planet filled with dangerous creatures
Phenom, Tall, Thin, Heart-Shaped Face, Tan Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishtail Braid, asymmetrical breasts, Hoop earrings, black metallic lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), City floating in the clouds
Dame, Short, Fit, Diamond-Shaped Face, Tan Skin, White Hair, pink Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Fishtail Crown Braid, full breasts, Dangle earrings, berry gloss lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Frozen tundra with icy mountains
Phenom, Average Height, Fit, Triangular Face, Tan Skin, Golden Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, High Ponytail, perky breasts, Faux gauge earrings, pink matte lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Giant space station
Belle, Tall, in shape, Oval Face, Fair Skin, Red Hair, coral Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, firm breasts, , rose velvet lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Desolate lunar surface
Visionary, Average Height, Fit, Round Face, Olive Skin, Black Hair, brown Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, saggy breasts, Drop earrings, light pink stain lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Post-apocalyptic wasteland
Vixen, Average Height, Fit, Heart-Shaped Face, Fair Skin, White Hair, ruby Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Herringbone Braid, large breasts, Dangle earrings, brown stain lipstick,  inside ((  wearing  Golf pants and golf polo )), Jungle planet filled with dangerous creatures
Charmer, Average Height, Wide Hips, Round Face, Tan Skin, Light Brown Hair, ice blue Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Fine Hair, French Braid, asymmetrical breasts, Cuff earrings, cream gloss lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Frozen tundra with icy mountains
Artist, Average Height, Slim, Square Face, Dark Skin, Strawberry Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, augmented breasts, Threader earrings, hot pink stain lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Frozen tundra with icy mountains
Enigma, Short, Athletic, Heart-Shaped Face, Dark Skin, Blonde Hair, grey-blue Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, small breasts, Clip-on earrings, peach matte lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Alien planet with bioluminescent flora
Artist, Short, Wide Hips, Round Face, Fair Skin, Platinum Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Straight Hair, Sock Bun, saggy breasts, Threader earrings, rust satin lipstick,  inside ((  wearing  leggings and tank top )), Desolate lunar surface
Queen, Average Height, Slim, Oval Face, Dark Skin, Chestnut Hair, pink Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Triple Braided Crown, firm breasts, Cuff earrings, pink satin lipstick,  inside ((  wearing  Running shorts and tank top )), Giant space station
Woman, Tall, Athletic, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, purple Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Side Bangs, augmented breasts, Drop earrings, pink metallic lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Alien planet with bioluminescent flora
Madam, Average Height, Slim, Square Face, Fair Skin, Auburn Hair, aquamarine Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Messy Beach Waves, asymmetrical breasts, Dangle earrings, fuchsia gloss lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Jungle planet filled with dangerous creatures
Sensation, Tall, Narrow Hips, Square Face, Dark Skin, Light Brown Hair, grey-blue Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Braided Crown, soft breasts, Threader earrings, cream sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Desolate lunar surface
Female Warrior, Tall, Athletic, Round Face, Tan Skin, Light Brown Hair, grey Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Sleek Bun, soft breasts, , coral matte lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Dystopian metropolis
Enchantress, Short, Fit, Round Face, Olive Skin, Chestnut Hair, Brown Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Short Afro, asymmetrical breasts, Drop earrings, light pink gloss lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Barren desert planet
Enchantress, Short, Skinny, Oval Face, Fair Skin, Light Brown Hair, red Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob, asymmetrical breasts, Faux gauge earrings, rose metallic lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Frozen tundra with icy mountains
Superwoman, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, White Hair, brown Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, High Chignon, natural breasts, Stud earrings, berry satin lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Barren desert planet
Songstress, Short, Toned, Round Face, Dark Skin, White Hair, peach Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, augmented breasts, , brown metallic lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Giant space station
Sensation, Average Height, Narrow Hips, Oval Face, Tan Skin, Auburn Hair, red Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Fine Hair, Beach Waves, asymmetrical breasts, Hoop earrings, teal satin lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Alien planet with bioluminescent flora
Babe, Tall, Toned, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, brown Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Braided Updo, saggy breasts, Hoop earrings, hot pink gloss lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Frozen tundra with icy mountains
Madam, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, blue Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, French Roll, saggy breasts, Dangle earrings, teal gloss lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Frozen tundra with icy mountains
Madam, Tall, Slim, Diamond-Shaped Face, Tan Skin, Gray Hair, blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, French Twist, full breasts, Hoop earrings, lavender satin lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Alien planet with bioluminescent flora
Phenom, Average Height, Firm, Oval Face, Tan Skin, Silver Hair, ice blue Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, perky breasts, Clip-on earrings, soft pink gloss lipstick,  inside ((  wearing  Slimfit tracksuit )), Frozen tundra with icy mountains
Countess, Average Height, Fit, Round Face, Tan Skin, Gray Hair, Blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, full breasts, Cuff earrings, terracotta satin lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Alien planet with bioluminescent flora
Escort, Tall, Fit, Heart-Shaped Face, Dark Skin, Chestnut Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Coarse Hair, Formal Updo, round breasts, Hoop earrings, soft pink velvet lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Dystopian metropolis
Visionary, Tall, Athletic, Square Face, Dark Skin, Blonde Hair, grey-blue Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Afro, soft breasts, Cuff earrings, lavender stain lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Jungle planet filled with dangerous creatures
Baroness, Short, Narrow Hips, Oval Face, Tan Skin, Auburn Hair, black Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid, perky breasts, Threader earrings, green matte lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Giant space station
Trailblazer, Average Height, Firm, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, red Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Long Straight Hair, round breasts, Threader earrings, soft pink cream lipstick,  inside ((  wearing  Golf pants and golf polo )), Underwater research facility
Femme fatale, Average Height, Wide Hips, Triangular Face, Tan Skin, Gray Hair, turquoise Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Wavy Layered Bob, augmented breasts, Huggie earrings, black matte lipstick,  inside ((  wearing  Running shorts and tank top )), Underwater research facility
Luminary, Tall, Toned, Heart-Shaped Face, Dark Skin, Light Brown Hair, aquamarine Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Waterfall Braid, small breasts, Clip-on earrings, rose metallic lipstick,  inside ((  wearing  Golf pants and golf polo )), Frozen tundra with icy mountains
Gal, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, Amber Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Loose Curls, round breasts, Stud earrings, soft pink satin lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Giant space station
Starlet, Short, Athletic, Heart-Shaped Face, Fair Skin, Red Hair, turquoise Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, natural breasts, Cuff earrings, violet satin lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Desolate lunar surface
Baroness, Average Height, Lean, Square Face, Olive Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fluffy Afro, firm breasts, , rust stain lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Post-apocalyptic wasteland
Lady, Tall, Thin, Square Face, Olive Skin, Blonde Hair, Blue Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Long Straight Hair, small breasts, Drop earrings, red matte lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Barren desert planet
Phenom, Short, Wide Hips, Triangular Face, Fair Skin, Dark Brown Hair, blue Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, large breasts, Clip-on earrings, orange stain lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Frozen tundra with icy mountains
Female Viking, Tall, Lean, Diamond-Shaped Face, Tan Skin, Brunette Hair, amber Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Curly Hair, Voluminous Waves, natural breasts, Cuff earrings, mauve sheer lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Dystopian metropolis
Diva, Average Height, Skinny, Oval Face, Tan Skin, Black Hair, dark brown Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, French Twist, natural breasts, Dangle earrings, grape metallic lipstick,  inside ((  wearing  Compression top and yoga pants )), City floating in the clouds
Baroness, Tall, Narrow Hips, Heart-Shaped Face, Dark Skin, Light Brown Hair, Amber Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Curled Bob, augmented breasts, Threader earrings, lavender velvet lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Dystopian metropolis
Diva, Average Height, Skinny, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, brown Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bun, full breasts, Huggie earrings, hot pink sheer lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), City floating in the clouds
Trailblazer, Average Height, Athletic, Triangular Face, Fair Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Fancy Updo, small breasts, Drop earrings, rose velvet lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Baroness, Short, Wide Hips, Square Face, Fair Skin, Black Hair, yellow Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Bun, augmented breasts, Hoop earrings, violet matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Barren desert planet
Escort, Short, Fit, Triangular Face, Fair Skin, Brunette Hair, teal Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, High Ponytail, natural breasts, Clip-on earrings, golden sheer lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), City floating in the clouds
Superwoman, Short, Thin, Round Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Wavy Bob, natural breasts, Dangle earrings, fuchsia gloss lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Alien planet with bioluminescent flora
Visionary, Average Height, Wide Hips, Triangular Face, Dark Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, augmented breasts, Hoop earrings, rust matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Dystopian metropolis
Baroness, Average Height, Firm, Round Face, Fair Skin, Gray Hair, silver Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Fishtail Crown Braid, soft breasts, Drop earrings, peach satin lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Barren desert planet
Temptress, Short, Thin, Oval Face, Tan Skin, Strawberry Blonde Hair, ice blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishtail Crown Braid, perky breasts, Hoop earrings, terracotta cream lipstick,  inside ((  wearing  leggings and tank top )), Jungle planet filled with dangerous creatures
Escort, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Brunette Hair, Green Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, firm breasts, Threader earrings, soft pink satin lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Alien planet with bioluminescent flora
Female Viking, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, red Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Low Chignon, natural breasts, Cuff earrings, green velvet lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Alien planet with bioluminescent flora
Sensation, Tall, in shape, Square Face, Dark Skin, Blonde Hair, Green Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Messy Beach Waves, augmented breasts, Faux gauge earrings, cream matte lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Dystopian metropolis
Female Warrior, Short, Slim, Oval Face, Fair Skin, Light Brown Hair, black Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Sleek Waves, asymmetrical breasts, Stud earrings, mauve sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Post-apocalyptic wasteland
Femme fatale, Tall, Thin, Triangular Face, Dark Skin, Golden Blonde Hair, jade Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Layered Bob, perky breasts, Stud earrings, light pink metallic lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Frozen tundra with icy mountains
Empress, Tall, in shape, Triangular Face, Dark Skin, Light Brown Hair, peach Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Herringbone Braid, round breasts, Cuff earrings, pink satin lipstick,  inside ((  wearing  Gym shorts and muscle tank )), City floating in the clouds
Female Viking, Average Height, Thin, Square Face, Olive Skin, Silver Hair, Gray Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Formal Braided Updo, natural breasts, Dangle earrings, black matte lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), City floating in the clouds
Empress, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, Brown Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Frohawk, large breasts, Stud earrings, plum metallic lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Giant space station
Sensation, Average Height, Fit, Oval Face, Dark Skin, Platinum Blonde Hair, amber Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Coarse Hair, Shaggy Cut, small breasts, Stud earrings, burgundy gloss lipstick,  inside ((  wearing  Running shorts and tank top )), Dystopian metropolis
Female Viking, Average Height, Narrow Hips, Round Face, Dark Skin, Silver Hair, dark brown Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Low Ponytail, firm breasts, Huggie earrings, soft pink metallic lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Desolate lunar surface
Lady, Tall, Firm, Heart-Shaped Face, Fair Skin, Auburn Hair, aquamarine Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Lace Braid, asymmetrical breasts, Clip-on earrings, magenta sheer lipstick,  inside ((  wearing  leggings and tank top )), Dystopian metropolis
Maven, Tall, Thin, Diamond-Shaped Face, Tan Skin, Blonde Hair, teal Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Formal Updo, small breasts, Clip-on earrings, peach stain lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Jungle planet filled with dangerous creatures
Siren, Short, Slim, Triangular Face, Tan Skin, Red Hair, teal Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fishbone Braid, full breasts, , rose velvet lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Frozen tundra with icy mountains
Empress, Tall, Fit, Triangular Face, Dark Skin, Chestnut Hair, Blue Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishbone Braid, soft breasts, Dangle earrings, black gloss lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Desolate lunar surface
Chanteuse, Short, Narrow Hips, Square Face, Olive Skin, Platinum Blonde Hair, jade Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Straight Bob with Layers, soft breasts, , black sheer lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Jungle planet filled with dangerous creatures
Diva, Average Height, Wide Hips, Round Face, Tan Skin, Chestnut Hair, silver Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, small breasts, Cuff earrings, mauve velvet lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Post-apocalyptic wasteland
Visionary, Short, Lean, Oval Face, Fair Skin, Silver Hair, blue Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Blunt Cut Bangs, small breasts, Cuff earrings, lavender matte lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Giant space station
