Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Off-the-shoulder dresses, Duchess, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Viking Braid, small breasts, Drop earrings, mauve stain lipstick
Short dresses, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side-Swept Bangs, round breasts, Huggie earrings, grape sheer lipstick
Off-the-shoulder dresses, Sensation, Tall, in shape, Square Face, Fair Skin, Golden Blonde Hair, grey Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, perky breasts, Cuff earrings, mauve metallic lipstick
Jumpsuits, Femme fatale, Tall, Slim, Oval Face, Olive Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Straight Updo, asymmetrical breasts, Clip-on earrings, violet satin lipstick
Caftans, Visionary, Short, Fit, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, saggy breasts, Huggie earrings, terracotta stain lipstick
Spaghetti strap dresses, Madam, Tall, Skinny, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Updo, small breasts, Hoop earrings, magenta matte lipstick
Halter dresses, Phenom, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, Blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, large breasts, , terracotta gloss lipstick
Short dresses, Femme fatale, Short, Athletic, Heart-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Frohawk, asymmetrical breasts, Dangle earrings, lavender gloss lipstick
Wrap dresses, Diva, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Red Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Formal Braided Updo, large breasts, Drop earrings, violet cream lipstick
Wrap dresses, Maven, Tall, Firm, Heart-Shaped Face, Dark Skin, Chestnut Hair, hazel Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Loose Waves, full breasts, Cuff earrings, light pink metallic lipstick
Jumpsuits, Superwoman, Short, Thin, Oval Face, Tan Skin, Brunette Hair, purple Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wedding Updo, round breasts, Cuff earrings, berry velvet lipstick
Off-the-shoulder dresses, Madame, Tall, Toned, Diamond-Shaped Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, soft breasts, Huggie earrings, green stain lipstick
Halter dresses, Diva, Average Height, Narrow Hips, Round Face, Olive Skin, Red Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, full breasts, Huggie earrings, berry gloss lipstick
Off-the-shoulder dresses, Charmer, Average Height, Fit, Square Face, Olive Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, hot pink metallic lipstick
Halter dresses, Baroness, Tall, Narrow Hips, Triangular Face, Olive Skin, Blonde Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Wavy Bob, round breasts, Threader earrings, light pink velvet lipstick
Halter dresses, Luminary, Average Height, Lean, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Amber Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, saggy breasts, Huggie earrings, coral velvet lipstick
Off-the-shoulder dresses, Baroness, Tall, Narrow Hips, Round Face, Olive Skin, Auburn Hair, yellow Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Long Wavy Hair, small breasts, Huggie earrings, gloss sheer lipstick
Sleeveless dresses, Escort, Tall, Toned, Diamond-Shaped Face, Fair Skin, Gray Hair, Green Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob, full breasts, , gloss metallic lipstick
Wrap dresses, Temptress, Average Height, Toned, Heart-Shaped Face, Dark Skin, White Hair, ruby Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Short Afro, firm breasts, Faux gauge earrings, green sheer lipstick
Maxi dresses, Siren, Short, Skinny, Diamond-Shaped Face, Olive Skin, Red Hair, ice blue Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Updo, perky breasts, Clip-on earrings, silver metallic lipstick
Off-the-shoulder dresses, Phenom, Short, Wide Hips, Round Face, Dark Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid, firm breasts, Dangle earrings, grape velvet lipstick
Spaghetti strap dresses, Escort, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Black Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Middle Part Bangs, asymmetrical breasts, Dangle earrings, orange cream lipstick
Short dresses, Woman, Short, Toned, Heart-Shaped Face, Fair Skin, Blonde Hair, pink Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , magenta sheer lipstick
Jumpsuits, Miss, Short, Toned, Round Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wavy Updo, round breasts, , grape satin lipstick
Maxi dresses, Superwoman, Short, Toned, Square Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid, firm breasts, , brown satin lipstick
Short dresses, Mistress, Tall, Slim, Square Face, Tan Skin, Gray Hair, teal Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Waves, perky breasts, Dangle earrings, red satin lipstick
Jumpsuits, Enchantress, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Red Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Sock Bun, perky breasts, Huggie earrings, hot pink stain lipstick
Caftans, Siren, Average Height, Athletic, Square Face, Dark Skin, Chestnut Hair, yellow Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, natural breasts, Hoop earrings, brown metallic lipstick
Jumpsuits, Baroness, Tall, Thin, Square Face, Tan Skin, Chestnut Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, asymmetrical breasts, Hoop earrings, cream gloss lipstick
Jumpsuits, Chanteuse, Tall, Firm, Square Face, Tan Skin, Platinum Blonde Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, full breasts, Huggie earrings, terracotta cream lipstick
Halter dresses, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Formal Updo, asymmetrical breasts, Huggie earrings, pink satin lipstick
Strapless dresses, Duchess, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Blonde Hair, black Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, French Twist, round breasts, Clip-on earrings, coral sheer lipstick
Jumpsuits, Temptress, Average Height, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Fishtail Braid, small breasts, Dangle earrings, black gloss lipstick
Caftans, Madame, Tall, Skinny, Oval Face, Olive Skin, Blonde Hair, green Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, saggy breasts, Faux gauge earrings, violet gloss lipstick
Rompers, Queen, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Auburn Hair, coral Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Straight Bob, large breasts, Stud earrings, lavender satin lipstick
Rompers, Maven, Tall, Thin, Square Face, Dark Skin, White Hair, coral Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Fringed Bangs, soft breasts, Cuff earrings, teal stain lipstick
Caftans, Female Viking, Average Height, Toned, Triangular Face, Tan Skin, White Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, , rose sheer lipstick
Caftans, Belle, Tall, Skinny, Oval Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Crown Braid, perky breasts, Cuff earrings, grape velvet lipstick
Sundresses, Artist, Short, Skinny, Oval Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Braided Headband, asymmetrical breasts, Cuff earrings, terracotta velvet lipstick
Halter dresses, Woman, Tall, Thin, Oval Face, Tan Skin, Black Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Angled Bob, perky breasts, Dangle earrings, mauve sheer lipstick
Caftans, Seductress, Average Height, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Stacked Bob, natural breasts, , peach gloss lipstick
Spaghetti strap dresses, Gal, Average Height, Fit, Oval Face, Fair Skin, Black Hair, silver Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, asymmetrical breasts, , orange gloss lipstick
Wrap dresses, Escort, Tall, Athletic, Square Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, small breasts, Cuff earrings, rust stain lipstick
Maxi dresses, Superwoman, Tall, Wide Hips, Round Face, Olive Skin, Brunette Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, augmented breasts, Threader earrings, mauve gloss lipstick
Halter dresses, Songstress, Short, in shape, Square Face, Olive Skin, Platinum Blonde Hair, ruby Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, firm breasts, Stud earrings, cream cream lipstick
Short dresses, Madam, Average Height, Fit, Heart-Shaped Face, Tan Skin, Chestnut Hair, Hazel Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, perky breasts, Stud earrings, cherry satin lipstick
Wrap dresses, Lady, Tall, Slim, Triangular Face, Fair Skin, Light Brown Hair, amethyst Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Fluffy Afro, firm breasts, Stud earrings, mauve stain lipstick
Sleeveless dresses, Queen, Average Height, Fit, Square Face, Fair Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side Bangs, small breasts, Hoop earrings, beige matte lipstick
Rompers, Goddess, Tall, Skinny, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, plum sheer lipstick
Sleeveless dresses, Enigma, Average Height, Slim, Square Face, Dark Skin, Red Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Short Afro, large breasts, , cream velvet lipstick
Halter dresses, Heiress, Short, Slim, Round Face, Olive Skin, Dark Brown Hair, gold Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Afro, perky breasts, Dangle earrings, peach stain lipstick
Sundresses, Woman, Average Height, Firm, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Viking Braid, firm breasts, Dangle earrings, gloss sheer lipstick
Rompers, Duchess, Tall, Skinny, Oval Face, Dark Skin, Brunette Hair, purple Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, small breasts, Threader earrings, rose metallic lipstick
Halter dresses, Chanteuse, Short, Toned, Triangular Face, Tan Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, Threader earrings, hot pink satin lipstick
Strapless dresses, Temptress, Average Height, in shape, Square Face, Dark Skin, Blonde Hair, gold Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fringed Bangs, perky breasts, Dangle earrings, peach velvet lipstick
Short dresses, Miss, Tall, Thin, Diamond-Shaped Face, Fair Skin, Chestnut Hair, ice blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia velvet lipstick
Halter dresses, Visionary, Short, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, full breasts, , golden metallic lipstick
Off-the-shoulder dresses, Trailblazer, Short, Slim, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Top Knot, full breasts, Faux gauge earrings, peach satin lipstick
Rompers, Luminary, Average Height, Firm, Heart-Shaped Face, Tan Skin, Auburn Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, full breasts, Hoop earrings, gloss velvet lipstick
Maxi dresses, Chanteuse, Short, Skinny, Oval Face, Olive Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, full breasts, Faux gauge earrings, teal stain lipstick
Sundresses, Phenom, Average Height, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, purple Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Boho Braid, perky breasts, Hoop earrings, violet satin lipstick
Spaghetti strap dresses, Heiress, Tall, Toned, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Waterfall Braid, firm breasts, Clip-on earrings, gloss matte lipstick
Off-the-shoulder dresses, Superwoman, Average Height, Firm, Square Face, Tan Skin, Strawberry Blonde Hair, jade Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, natural breasts, Threader earrings, teal satin lipstick
Strapless dresses, Enchantress, Short, Thin, Triangular Face, Olive Skin, White Hair, Gray Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, asymmetrical breasts, Huggie earrings, lavender satin lipstick
Spaghetti strap dresses, Sensation, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, Drop earrings, cherry satin lipstick
Halter dresses, Luminary, Average Height, Slim, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, Afro, soft breasts, Stud earrings, teal stain lipstick
Off-the-shoulder dresses, Countess, Average Height, Toned, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, Loose Curls, augmented breasts, Threader earrings, terracotta matte lipstick
Strapless dresses, Phenom, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Long Curly Hair, firm breasts, Stud earrings, red cream lipstick
Maxi dresses, Gal, Tall, Thin, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Voluminous Waves, large breasts, Dangle earrings, pink stain lipstick
Sleeveless dresses, Enigma, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Chestnut Hair, red Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, small breasts, Faux gauge earrings, lavender velvet lipstick
Short dresses, Sensation, Average Height, Athletic, Square Face, Olive Skin, Dark Brown Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Angled Bob, soft breasts, Huggie earrings, teal metallic lipstick
Spaghetti strap dresses, Luminary, Short, Wide Hips, Oval Face, Fair Skin, Dark Brown Hair, grey Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, round breasts, , burgundy gloss lipstick
Short dresses, Superwoman, Tall, in shape, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, natural breasts, Dangle earrings, rust stain lipstick
Strapless dresses, Enigma, Tall, Toned, Square Face, Fair Skin, Light Brown Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Triple Braided Crown, soft breasts, Cuff earrings, hot pink matte lipstick
Short dresses, Enchantress, Average Height, Fit, Round Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, asymmetrical breasts, Clip-on earrings, teal velvet lipstick
Rompers, Female Viking, Short, Narrow Hips, Round Face, Dark Skin, Chestnut Hair, brown Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, asymmetrical breasts, Clip-on earrings, violet metallic lipstick
Spaghetti strap dresses, Chanteuse, Short, Fit, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, saggy breasts, Threader earrings, lavender satin lipstick
Short dresses, Luminary, Tall, in shape, Diamond-Shaped Face, Fair Skin, Red Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Side French Braid, full breasts, Clip-on earrings, cream gloss lipstick
Caftans, Visionary, Short, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, yellow Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Long Straight Hair, natural breasts, Huggie earrings, cream satin lipstick
Rompers, Dame, Tall, in shape, Oval Face, Olive Skin, Chestnut Hair, ruby Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, firm breasts, Clip-on earrings, soft pink satin lipstick
Halter dresses, Songstress, Tall, Skinny, Triangular Face, Fair Skin, Dark Brown Hair, light blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Frohawk, round breasts, Clip-on earrings, rose sheer lipstick
Strapless dresses, Chanteuse, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, saggy breasts, Huggie earrings, violet velvet lipstick
Wrap dresses, Seductress, Tall, Skinny, Round Face, Olive Skin, Chestnut Hair, ruby Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, round breasts, Faux gauge earrings, magenta stain lipstick
Spaghetti strap dresses, Maven, Short, Firm, Triangular Face, Dark Skin, Silver Hair, green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Wavy Hair, Bob with Bangs, soft breasts, Hoop earrings, coral stain lipstick
Strapless dresses, Enchantress, Tall, Lean, Round Face, Tan Skin, Golden Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Middle Part Bangs, small breasts, Faux gauge earrings, green sheer lipstick
Jumpsuits, Trailblazer, Tall, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Swept Bangs, small breasts, Hoop earrings, pink satin lipstick
Sleeveless dresses, Heiress, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Blonde Hair, amethyst Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, large breasts, Stud earrings, magenta gloss lipstick
Maxi dresses, Goddess, Short, Fit, Diamond-Shaped Face, Olive Skin, Black Hair, amber Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curly Hair, large breasts, Threader earrings, golden satin lipstick
Halter dresses, Goddess, Short, Thin, Triangular Face, Olive Skin, Auburn Hair, green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Wavy Bob, round breasts, Stud earrings, green satin lipstick
