autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
autumn, A lightweight sweater with corduroy pants and sneakers, Starlet, Tall, Thin, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Boho Braid, asymmetrical breasts, Dangle earrings, golden velvet lipstick
autumn, A printed romper with heeled boots and a fedora, Diva, Tall, Skinny, Diamond-Shaped Face, Tan Skin, White Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, small breasts, Hoop earrings, violet sheer lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Starlet, Average Height, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, Brown Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, perky breasts, Stud earrings, red metallic lipstick
spring, A lightweight sweater with cropped pants and sneakers, Babe, Tall, Toned, Round Face, Tan Skin, Black Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Messy Beach Waves, small breasts, Drop earrings, rose velvet lipstick
spring, A jumpsuit with a belt and block heels, Empress, Tall, Thin, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, soft breasts, Hoop earrings, rust gloss lipstick
spring, A floral sundress with sandals and a denim jacket, Madam, Tall, Thin, Heart-Shaped Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, small breasts, Threader earrings, soft pink satin lipstick
spring, A sundress with sandals and a denim jacket, Visionary, Average Height, Toned, Triangular Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Ballerina Bun, soft breasts, Huggie earrings, black stain lipstick
summer, A pleated skirt with a tank and sandals, Temptress, Tall, Fit, Round Face, Olive Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Bun, saggy breasts, Faux gauge earrings, fuchsia metallic lipstick
autumn, A turtleneck dress with ankle boots and a leather jacket, Belle, Tall, in shape, Diamond-Shaped Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, firm breasts, Faux gauge earrings, soft pink satin lipstick
summer, A midi skirt with a tucked in tank and slides, Goddess, Tall, Fit, Triangular Face, Fair Skin, Honey Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Chignon, saggy breasts, Stud earrings, rose velvet lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Songstress, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, hazel Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Formal Updo, small breasts, Huggie earrings, hot pink satin lipstick
spring, A pleated midi skirt with a graphic tee and sandals, Duchess, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Viking Braid, small breasts, Drop earrings, mauve stain lipstick
winter, Turtleneck sweater with a coat and pantsA turtleneck dress with knee-high boots and a wool coat, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side-Swept Bangs, round breasts, Huggie earrings, grape sheer lipstick
summer, A wrap dress with wedges, Sensation, Tall, in shape, Square Face, Fair Skin, Golden Blonde Hair, grey Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, perky breasts, Cuff earrings, mauve metallic lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Femme fatale, Tall, Slim, Oval Face, Olive Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Straight Updo, asymmetrical breasts, Clip-on earrings, violet satin lipstick
spring, A pastel sweater with a pleated skirt and espadrilles, Visionary, Short, Fit, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, saggy breasts, Huggie earrings, terracotta stain lipstick
spring, A pastel blazer with a white tee and white jeans, Madam, Tall, Skinny, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Updo, small breasts, Hoop earrings, magenta matte lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Phenom, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, Blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, large breasts, , terracotta gloss lipstick
summer, A pleated skirt with a tank and sandals, Femme fatale, Short, Athletic, Heart-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Frohawk, asymmetrical breasts, Dangle earrings, lavender gloss lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Diva, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Red Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Formal Braided Updo, large breasts, Drop earrings, violet cream lipstick
autumn, A printed romper with heeled boots and a fedora, Maven, Tall, Firm, Heart-Shaped Face, Dark Skin, Chestnut Hair, hazel Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Loose Waves, full breasts, Cuff earrings, light pink metallic lipstick
summer, A pleated skirt with a tank and sandals, Superwoman, Short, Thin, Oval Face, Tan Skin, Brunette Hair, purple Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wedding Updo, round breasts, Cuff earrings, berry velvet lipstick
spring, A sundress with sandals and a denim jacket, Madame, Tall, Toned, Diamond-Shaped Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, soft breasts, Huggie earrings, green stain lipstick
summer, A linen blazer with a tank top and white jeans, Diva, Average Height, Narrow Hips, Round Face, Olive Skin, Red Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, full breasts, Huggie earrings, berry gloss lipstick
spring, A lightweight sweater with white cropped pants and sneakers, Charmer, Average Height, Fit, Square Face, Olive Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, hot pink metallic lipstick
spring, A button-down dress with a neck scarf and sneakers, Baroness, Tall, Narrow Hips, Triangular Face, Olive Skin, Blonde Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Wavy Bob, round breasts, Threader earrings, light pink velvet lipstick
summer, A midi skirt with a tucked in blouse and sandals, Luminary, Average Height, Lean, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Amber Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, saggy breasts, Huggie earrings, coral velvet lipstick
autumn, A wrap dress with heeled booties, Baroness, Tall, Narrow Hips, Round Face, Olive Skin, Auburn Hair, yellow Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Long Wavy Hair, small breasts, Huggie earrings, gloss sheer lipstick
spring, A white shirt dress with ankle boots and a belt, Escort, Tall, Toned, Diamond-Shaped Face, Fair Skin, Gray Hair, Green Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob, full breasts, , gloss metallic lipstick
autumn, A button-down dress with a scarf and loafers, Temptress, Average Height, Toned, Heart-Shaped Face, Dark Skin, White Hair, ruby Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Short Afro, firm breasts, Faux gauge earrings, green sheer lipstick
autumn, A button-down dress with a scarf and loafers, Siren, Short, Skinny, Diamond-Shaped Face, Olive Skin, Red Hair, ice blue Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Updo, perky breasts, Clip-on earrings, silver metallic lipstick
summer, A floral midi dress with sandals and a straw hat, Phenom, Short, Wide Hips, Round Face, Dark Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid, firm breasts, Dangle earrings, grape velvet lipstick
autumn, A chunky knit sweater with corduroy pants and sneakers, Escort, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Black Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Middle Part Bangs, asymmetrical breasts, Dangle earrings, orange cream lipstick
summer, A maxi dress with a denim jacket and flat sandals, Woman, Short, Toned, Heart-Shaped Face, Fair Skin, Blonde Hair, pink Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , magenta sheer lipstick
summer, A lightweight sweater with shorts and sneakers, Miss, Short, Toned, Round Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wavy Updo, round breasts, , grape satin lipstick
winter, A printed romper with heeled boots and a wide-brim hat, Superwoman, Short, Toned, Square Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid, firm breasts, , brown satin lipstick
spring, An oversized blazer with black jeans and heels, Mistress, Tall, Slim, Square Face, Tan Skin, Gray Hair, teal Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Waves, perky breasts, Dangle earrings, red satin lipstick
spring, A white shirt dress with ankle boots and a belt, Enchantress, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Red Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Sock Bun, perky breasts, Huggie earrings, hot pink stain lipstick
summer, A lightweight sweater with shorts and sneakers, Siren, Average Height, Athletic, Square Face, Dark Skin, Chestnut Hair, yellow Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, natural breasts, Hoop earrings, brown metallic lipstick
summer, An oversized denim jacket with white jeans and strappy sandals, Baroness, Tall, Thin, Square Face, Tan Skin, Chestnut Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, asymmetrical breasts, Hoop earrings, cream gloss lipstick
autumn, A midi skirt with a tucked in blouse and ankle boots, Chanteuse, Tall, Firm, Square Face, Tan Skin, Platinum Blonde Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, full breasts, Huggie earrings, terracotta cream lipstick
autumn, A midi skirt with a tucked in blouse and ankle boots, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Formal Updo, asymmetrical breasts, Huggie earrings, pink satin lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Duchess, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Blonde Hair, black Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, French Twist, round breasts, Clip-on earrings, coral sheer lipstick
winter, Sweater dress with boots and tights, Temptress, Average Height, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Fishtail Braid, small breasts, Dangle earrings, black gloss lipstick
autumn, A hoodie with sweatpants and sneakers, Madame, Tall, Skinny, Oval Face, Olive Skin, Blonde Hair, green Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, saggy breasts, Faux gauge earrings, violet gloss lipstick
autumn, A wrap dress with mules and a statement necklace, Queen, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Auburn Hair, coral Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Straight Bob, large breasts, Stud earrings, lavender satin lipstick
summer, A lightweight sweater with shorts and sneakers, Maven, Tall, Thin, Square Face, Dark Skin, White Hair, coral Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Fringed Bangs, soft breasts, Cuff earrings, teal stain lipstick
spring, A floral print sundress with sandals and a denim jacket, Female Viking, Average Height, Toned, Triangular Face, Tan Skin, White Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, , rose sheer lipstick
spring, A floral print sundress with sandals and a denim jacket, Belle, Tall, Skinny, Oval Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Crown Braid, perky breasts, Cuff earrings, grape velvet lipstick
spring, A pastel lightweight sweater with cropped white jeans and sneakers, Artist, Short, Skinny, Oval Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Braided Headband, asymmetrical breasts, Cuff earrings, terracotta velvet lipstick
autumn, A sweater with skinny jeans and ankle boots, Woman, Tall, Thin, Oval Face, Tan Skin, Black Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Angled Bob, perky breasts, Dangle earrings, mauve sheer lipstick
summer, A spaghetti strap top with high-waisted jeans and heels, Seductress, Average Height, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Stacked Bob, natural breasts, , peach gloss lipstick
summer, A striped jumpsuit with a denim vest, Gal, Average Height, Fit, Oval Face, Fair Skin, Black Hair, silver Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, asymmetrical breasts, , orange gloss lipstick
autumn, A wrap dress with mules and a statement necklace, Escort, Tall, Athletic, Square Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, small breasts, Cuff earrings, rust stain lipstick
winter, Parka with a sweater and thermal wear, Superwoman, Tall, Wide Hips, Round Face, Olive Skin, Brunette Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, augmented breasts, Threader earrings, mauve gloss lipstick
winter, Turtleneck sweater with a coat and pantsA turtleneck dress with knee-high boots and a wool coat, Songstress, Short, in shape, Square Face, Olive Skin, Platinum Blonde Hair, ruby Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, firm breasts, Stud earrings, cream cream lipstick
summer, A sundress with flat sandals and a sun hat, Madam, Average Height, Fit, Heart-Shaped Face, Tan Skin, Chestnut Hair, Hazel Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, perky breasts, Stud earrings, cherry satin lipstick
summer, A wrap dress with wedges, Lady, Tall, Slim, Triangular Face, Fair Skin, Light Brown Hair, amethyst Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Fluffy Afro, firm breasts, Stud earrings, mauve stain lipstick
summer, A jumpsuit with a belt and strappy heels, Queen, Average Height, Fit, Square Face, Fair Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side Bangs, small breasts, Hoop earrings, beige matte lipstick
autumn, A long cardigan with a tank top, leggings, and boots, Goddess, Tall, Skinny, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, plum sheer lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Enigma, Average Height, Slim, Square Face, Dark Skin, Red Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Short Afro, large breasts, , cream velvet lipstick
autumn, A wrap dress with mules and a statement necklace, Heiress, Short, Slim, Round Face, Olive Skin, Dark Brown Hair, gold Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Afro, perky breasts, Dangle earrings, peach stain lipstick
winter, Sweater dress with boots and tights, Woman, Average Height, Firm, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Viking Braid, firm breasts, Dangle earrings, gloss sheer lipstick
summer, A floral sundress with sandals and a straw hat, Duchess, Tall, Skinny, Oval Face, Dark Skin, Brunette Hair, purple Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, small breasts, Threader earrings, rose metallic lipstick
autumn, A striped jumpsuit with an oversized sweater, Chanteuse, Short, Toned, Triangular Face, Tan Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, Threader earrings, hot pink satin lipstick
autumn, A striped jumpsuit with an oversized sweater, Temptress, Average Height, in shape, Square Face, Dark Skin, Blonde Hair, gold Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fringed Bangs, perky breasts, Dangle earrings, peach velvet lipstick
summer, A midi skirt with a tucked in tank and slides, Miss, Tall, Thin, Diamond-Shaped Face, Fair Skin, Chestnut Hair, ice blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia velvet lipstick
winter, A printed romper with heeled boots and a wide-brim hat, Visionary, Short, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, full breasts, , golden metallic lipstick
summer, A lightweight linen sweater with shorts and sandals, Trailblazer, Short, Slim, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Top Knot, full breasts, Faux gauge earrings, peach satin lipstick
summer, A linen blazer with a tank top and white jeans, Luminary, Average Height, Firm, Heart-Shaped Face, Tan Skin, Auburn Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, full breasts, Hoop earrings, gloss velvet lipstick
spring, A pastel lightweight sweater with cropped white jeans and sneakers, Chanteuse, Short, Skinny, Oval Face, Olive Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, full breasts, Faux gauge earrings, teal stain lipstick
autumn, A turtleneck dress with ankle boots and a leather jacket, Phenom, Average Height, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, purple Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Boho Braid, perky breasts, Hoop earrings, violet satin lipstick
winter, Bomber jacket with a sweater and leggings, Heiress, Tall, Toned, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Waterfall Braid, firm breasts, Clip-on earrings, gloss matte lipstick
winter, Puffy jacket with skinny jeans and snow boots, Superwoman, Average Height, Firm, Square Face, Tan Skin, Strawberry Blonde Hair, jade Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, natural breasts, Threader earrings, teal satin lipstick
summer, A sleeveless blouse with a midi skirt and wedges, Enchantress, Short, Thin, Triangular Face, Olive Skin, White Hair, Gray Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, asymmetrical breasts, Huggie earrings, lavender satin lipstick
winter, Sweater with a puffy vest and skinny jeans, Sensation, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, Drop earrings, cherry satin lipstick
autumn, A pleated midi skirt with a blouse and loafers, Luminary, Average Height, Slim, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, Afro, soft breasts, Stud earrings, teal stain lipstick
winter, A pleated midi skirt with a blouse and ankle boots, Countess, Average Height, Toned, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, Loose Curls, augmented breasts, Threader earrings, terracotta matte lipstick
winter, A plaid blazer with a white tee and jeans, Phenom, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Long Curly Hair, firm breasts, Stud earrings, red cream lipstick
winter, Sweater with a scarf, beanie and gloves, Gal, Tall, Thin, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Voluminous Waves, large breasts, Dangle earrings, pink stain lipstick
autumn, A button-down dress with a scarf and loafers, Enigma, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Chestnut Hair, red Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, small breasts, Faux gauge earrings, lavender velvet lipstick
winter, A chunky-knit sweater with jeans and combat boots, Sensation, Average Height, Athletic, Square Face, Olive Skin, Dark Brown Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Angled Bob, soft breasts, Huggie earrings, teal metallic lipstick
spring, A floral maxi dress with strappy sandals, Luminary, Short, Wide Hips, Oval Face, Fair Skin, Dark Brown Hair, grey Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, round breasts, , burgundy gloss lipstick
spring, A sundress with sandals and a denim jacket, Superwoman, Tall, in shape, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, natural breasts, Dangle earrings, rust stain lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Enigma, Tall, Toned, Square Face, Fair Skin, Light Brown Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Triple Braided Crown, soft breasts, Cuff earrings, hot pink matte lipstick
winter, Puffy jacket with skinny jeans and snow boots, Enchantress, Average Height, Fit, Round Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, asymmetrical breasts, Clip-on earrings, teal velvet lipstick
autumn, A puffer jacket with a turtleneck, jeans, and boots, Female Viking, Short, Narrow Hips, Round Face, Dark Skin, Chestnut Hair, brown Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, asymmetrical breasts, Clip-on earrings, violet metallic lipstick
