Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Gallium, cocktail brooch, Starlet, Average Height, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, Brown Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, perky breasts, Stud earrings, red metallic lipstick, Black Leather Bralette and Panty Set
Radium, tassel necklace, Babe, Tall, Toned, Round Face, Tan Skin, Black Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Messy Beach Waves, small breasts, Drop earrings, rose velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Radium, pearl necklace, Empress, Tall, Thin, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, soft breasts, Hoop earrings, rust gloss lipstick, Tan Faux Leather Slip Dress
Gallium, torc necklace, Madam, Tall, Thin, Heart-Shaped Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, small breasts, Threader earrings, soft pink satin lipstick, Mint Green Mesh Teddy 
Beryllium, toggle bracelet, Visionary, Average Height, Toned, Triangular Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Ballerina Bun, soft breasts, Huggie earrings, black stain lipstick, Charcoal Sheer Bra and Panty Set
Silver, cocktail ring, Temptress, Tall, Fit, Round Face, Olive Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Bun, saggy breasts, Faux gauge earrings, fuchsia metallic lipstick, Grey Faux Leather Corset 
Gold, locket necklace, Belle, Tall, in shape, Diamond-Shaped Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, firm breasts, Faux gauge earrings, soft pink satin lipstick, Gold Strappy Bodysuit
Platinum, bangle bracelet, Goddess, Tall, Fit, Triangular Face, Fair Skin, Honey Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Chignon, saggy breasts, Stud earrings, rose velvet lipstick, Red Satin Babydoll
Gallium, cocktail brooch, Songstress, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, hazel Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Formal Updo, small breasts, Huggie earrings, hot pink satin lipstick, Red Mesh Chemise with Strappy Back Detail
Palladium, tennis necklace, Duchess, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Viking Braid, small breasts, Drop earrings, mauve stain lipstick, Purple Velvet Robe with Fur Trim 
Germanium, pearl necklace, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side-Swept Bangs, round breasts, Huggie earrings, grape sheer lipstick, Navy Blue Satin Garter Belt with Suspenders 
Indium, toe ring, Sensation, Tall, in shape, Square Face, Fair Skin, Golden Blonde Hair, grey Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, perky breasts, Cuff earrings, mauve metallic lipstick, Black Leather Bralette and Panty Set
Radium, chain necklace, Femme fatale, Tall, Slim, Oval Face, Olive Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Straight Updo, asymmetrical breasts, Clip-on earrings, violet satin lipstick, Pink Lace Chemise with Ruffle Details
Rhenium, vintage brooch, Visionary, Short, Fit, Triangular Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, saggy breasts, Huggie earrings, terracotta stain lipstick, Black Cutout Bodysuit with Zipper
Cadmium, necklace, Madam, Tall, Skinny, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Updo, small breasts, Hoop earrings, magenta matte lipstick, Charcoal Sheer Bra and Panty Set
Gallium, cocktail brooch, Phenom, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, Blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, large breasts, , terracotta gloss lipstick, Black Cutout Bodysuit with Zipper
Silver, chain bracelet, Femme fatale, Short, Athletic, Heart-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Frohawk, asymmetrical breasts, Dangle earrings, lavender gloss lipstick, Purple Velvet Slip with Lace Trim
Rhodium, locket necklace, Diva, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Red Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Formal Braided Updo, large breasts, Drop earrings, violet cream lipstick, Turquoise Sheer Chemise with Cutouts
Indium, tassel necklace, Maven, Tall, Firm, Heart-Shaped Face, Dark Skin, Chestnut Hair, hazel Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Loose Waves, full breasts, Cuff earrings, light pink metallic lipstick, Black Mesh Bodysuit with Embroidered Flowers
Radium, tennis bracelet, Superwoman, Short, Thin, Oval Face, Tan Skin, Brunette Hair, purple Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wedding Updo, round breasts, Cuff earrings, berry velvet lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Silver, necklace, Madame, Tall, Toned, Diamond-Shaped Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, soft breasts, Huggie earrings, green stain lipstick, Red Lace Bra and Panty Set with Garter Belt
Platinum, multi-strand necklace, Diva, Average Height, Narrow Hips, Round Face, Olive Skin, Red Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, full breasts, Huggie earrings, berry gloss lipstick, Pink Floral Corset
Platinum, bib necklace, Charmer, Average Height, Fit, Square Face, Olive Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, hot pink metallic lipstick, Crimson Velvet Cami and Short Set 
Beryllium, brooch, Baroness, Tall, Narrow Hips, Triangular Face, Olive Skin, Blonde Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Wavy Bob, round breasts, Threader earrings, light pink velvet lipstick, Black Lace Bustier
Indium, bangle bracelet, Luminary, Average Height, Lean, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Amber Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, saggy breasts, Huggie earrings, coral velvet lipstick, Pink Floral Corset
Gallium, cocktail ring, Baroness, Tall, Narrow Hips, Round Face, Olive Skin, Auburn Hair, yellow Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Long Wavy Hair, small breasts, Huggie earrings, gloss sheer lipstick, Purple Velvet Robe with Fur Trim 
Tantalum, anklet, Escort, Tall, Toned, Diamond-Shaped Face, Fair Skin, Gray Hair, Green Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob, full breasts, , gloss metallic lipstick, Silver Sequin Bralette
Rhenium, pearl necklace, Temptress, Average Height, Toned, Heart-Shaped Face, Dark Skin, White Hair, ruby Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Short Afro, firm breasts, Faux gauge earrings, green sheer lipstick, Maroon Satin and Lace Corset 
Ruthenium, locket necklace, Siren, Short, Skinny, Diamond-Shaped Face, Olive Skin, Red Hair, ice blue Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Updo, perky breasts, Clip-on earrings, silver metallic lipstick, White Lace Bralette and Boyshorts Set
Rhenium, chain necklace, Phenom, Short, Wide Hips, Round Face, Dark Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid, firm breasts, Dangle earrings, grape velvet lipstick, Silver Sequin Bralette
Iridium, tennis bracelet, Escort, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Black Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Middle Part Bangs, asymmetrical breasts, Dangle earrings, orange cream lipstick, Ivory Lace Teddy
Radium, beaded necklace, Woman, Short, Toned, Heart-Shaped Face, Fair Skin, Blonde Hair, pink Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , magenta sheer lipstick, Olive Green Mesh Garter Belt with Stockings
Gold, beaded necklace, Miss, Short, Toned, Round Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wavy Updo, round breasts, , grape satin lipstick, Black Mesh Bodysuit with Embroidered Flowers
Germanium, charm bracelet, Superwoman, Short, Toned, Square Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid, firm breasts, , brown satin lipstick, Purple Velvet Slip with Lace Trim
Ruthenium, toe ring, Mistress, Tall, Slim, Square Face, Tan Skin, Gray Hair, teal Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Waves, perky breasts, Dangle earrings, red satin lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Gold, tennis bracelet, Enchantress, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Red Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Sock Bun, perky breasts, Huggie earrings, hot pink stain lipstick, Black Cutout Bodysuit with Zipper
Germanium, toggle bracelet, Siren, Average Height, Athletic, Square Face, Dark Skin, Chestnut Hair, yellow Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, natural breasts, Hoop earrings, brown metallic lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhenium, bangle bracelet, Baroness, Tall, Thin, Square Face, Tan Skin, Chestnut Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, asymmetrical breasts, Hoop earrings, cream gloss lipstick, Green Satin Robe with Lace Trim
Cadmium, bracelet, Chanteuse, Tall, Firm, Square Face, Tan Skin, Platinum Blonde Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, full breasts, Huggie earrings, terracotta cream lipstick, White Satin and Lace Bra and Panty Set
Tantalum, anklet, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Formal Updo, asymmetrical breasts, Huggie earrings, pink satin lipstick, Purple Velvet Robe with Fur Trim 
Beryllium, animal brooch, Duchess, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Blonde Hair, black Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, French Twist, round breasts, Clip-on earrings, coral sheer lipstick, Maroon Satin and Lace Corset 
Radium, cocktail brooch, Temptress, Average Height, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Fishtail Braid, small breasts, Dangle earrings, black gloss lipstick, Fuchsia Mesh Halter Bra and Panty Set
Iridium, torc necklace, Madame, Tall, Skinny, Oval Face, Olive Skin, Blonde Hair, green Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, saggy breasts, Faux gauge earrings, violet gloss lipstick, Pink Floral Corset
Platinum, cuff bracelet, Queen, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Auburn Hair, coral Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Straight Bob, large breasts, Stud earrings, lavender satin lipstick, Blue Satin and Lace Cami and Short Set
Indium, beaded bracelet, Maven, Tall, Thin, Square Face, Dark Skin, White Hair, coral Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Fringed Bangs, soft breasts, Cuff earrings, teal stain lipstick, Green Satin and Lace Garter Belt with Matching Thong
Iridium, bangle bracelet, Female Viking, Average Height, Toned, Triangular Face, Tan Skin, White Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, , rose sheer lipstick, Charcoal Sheer Bra and Panty Set
Indium, watch bracelet, Belle, Tall, Skinny, Oval Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Crown Braid, perky breasts, Cuff earrings, grape velvet lipstick, Orange Satin Slip
Rhenium, choker, Artist, Short, Skinny, Oval Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Braided Headband, asymmetrical breasts, Cuff earrings, terracotta velvet lipstick, Black Leather Bralette and Panty Set
Gold, toe ring, Woman, Tall, Thin, Oval Face, Tan Skin, Black Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Angled Bob, perky breasts, Dangle earrings, mauve sheer lipstick, Olive Green Mesh Garter Belt with Stockings
Ruthenium, pearl necklace, Seductress, Average Height, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Stacked Bob, natural breasts, , peach gloss lipstick, Pink Lace Garter Slip with Matching Thong
Cadmium, brooch pin, Gal, Average Height, Fit, Oval Face, Fair Skin, Black Hair, silver Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, asymmetrical breasts, , orange gloss lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, bracelet, Escort, Tall, Athletic, Square Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, small breasts, Cuff earrings, rust stain lipstick, Turquoise Sheer Chemise with Cutouts
Iridium, necklace, Superwoman, Tall, Wide Hips, Round Face, Olive Skin, Brunette Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, augmented breasts, Threader earrings, mauve gloss lipstick, White Satin and Lace Bra and Panty Set
Rhenium, toe ring, Songstress, Short, in shape, Square Face, Olive Skin, Platinum Blonde Hair, ruby Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, firm breasts, Stud earrings, cream cream lipstick, Pink Lace Garter Slip with Matching Thong
Radium, pearl necklace, Madam, Average Height, Fit, Heart-Shaped Face, Tan Skin, Chestnut Hair, Hazel Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, perky breasts, Stud earrings, cherry satin lipstick, Red Satin Kimono with Lace Sleeve Detail
Platinum, animal brooch, Lady, Tall, Slim, Triangular Face, Fair Skin, Light Brown Hair, amethyst Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Fluffy Afro, firm breasts, Stud earrings, mauve stain lipstick, Crimson Velvet Cami and Short Set 
Rhenium, cuff bracelet, Queen, Average Height, Fit, Square Face, Fair Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side Bangs, small breasts, Hoop earrings, beige matte lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Gallium, charm bracelet, Goddess, Tall, Skinny, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, small breasts, Clip-on earrings, plum sheer lipstick, Purple Velvet Robe with Fur Trim 
Radium, bangle bracelet, Enigma, Average Height, Slim, Square Face, Dark Skin, Red Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Short Afro, large breasts, , cream velvet lipstick, Green Satin and Lace Garter Belt with Matching Thong
Ruthenium, toggle bracelet, Heiress, Short, Slim, Round Face, Olive Skin, Dark Brown Hair, gold Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Afro, perky breasts, Dangle earrings, peach stain lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhodium, beaded bracelet, Woman, Average Height, Firm, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Viking Braid, firm breasts, Dangle earrings, gloss sheer lipstick, Red Satin Kimono with Lace Sleeve Detail
Cadmium, anklet, Duchess, Tall, Skinny, Oval Face, Dark Skin, Brunette Hair, purple Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, small breasts, Threader earrings, rose metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Gallium, bracelet, Chanteuse, Short, Toned, Triangular Face, Tan Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, Threader earrings, hot pink satin lipstick, Purple Velvet Robe with Fur Trim 
Rhodium, locket necklace, Temptress, Average Height, in shape, Square Face, Dark Skin, Blonde Hair, gold Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fringed Bangs, perky breasts, Dangle earrings, peach velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhodium, torc necklace, Miss, Tall, Thin, Diamond-Shaped Face, Fair Skin, Chestnut Hair, ice blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Radium, ankle strap, Visionary, Short, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, full breasts, , golden metallic lipstick, Black Mesh Bodysuit with Embroidered Flowers
Indium, tennis necklace, Trailblazer, Short, Slim, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, gold Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Top Knot, full breasts, Faux gauge earrings, peach satin lipstick, Crimson Velvet Cami and Short Set 
Gallium, cocktail ring, Luminary, Average Height, Firm, Heart-Shaped Face, Tan Skin, Auburn Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, full breasts, Hoop earrings, gloss velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Germanium, tennis bracelet, Chanteuse, Short, Skinny, Oval Face, Olive Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, full breasts, Faux gauge earrings, teal stain lipstick, Blue Sheer Babydoll with Satin Trim
Palladium, tennis necklace, Phenom, Average Height, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, purple Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Boho Braid, perky breasts, Hoop earrings, violet satin lipstick, Silver Sequin Bralette
Ruthenium, bangle bracelet, Heiress, Tall, Toned, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Waterfall Braid, firm breasts, Clip-on earrings, gloss matte lipstick, Brown Strappy Bodysuit
Platinum, tennis necklace, Superwoman, Average Height, Firm, Square Face, Tan Skin, Strawberry Blonde Hair, jade Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, natural breasts, Threader earrings, teal satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Indium, tennis bracelet, Enchantress, Short, Thin, Triangular Face, Olive Skin, White Hair, Gray Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, asymmetrical breasts, Huggie earrings, lavender satin lipstick, Yellow Lace Garter Belt 
Germanium, beaded bracelet, Sensation, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, Drop earrings, cherry satin lipstick, Silver Silk Bra and Panty Set with Garter Belt
Indium, pearl necklace, Luminary, Average Height, Slim, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, Afro, soft breasts, Stud earrings, teal stain lipstick, Black Mesh Bodysuit with Embroidered Flowers
Cadmium, toggle bracelet, Countess, Average Height, Toned, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, Loose Curls, augmented breasts, Threader earrings, terracotta matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
Rhodium, charm bracelet, Phenom, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Long Curly Hair, firm breasts, Stud earrings, red cream lipstick, Red Satin Babydoll
Radium, torc necklace, Gal, Tall, Thin, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Voluminous Waves, large breasts, Dangle earrings, pink stain lipstick, Mint Green Mesh Teddy 
Palladium, brooch pin, Enigma, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Chestnut Hair, red Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, small breasts, Faux gauge earrings, lavender velvet lipstick, Purple Velvet Robe with Fur Trim 
Silver, pendant, Sensation, Average Height, Athletic, Square Face, Olive Skin, Dark Brown Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Angled Bob, soft breasts, Huggie earrings, teal metallic lipstick, Navy Blue Satin Garter Belt with Suspenders 
Platinum, toe ring, Luminary, Short, Wide Hips, Oval Face, Fair Skin, Dark Brown Hair, grey Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, round breasts, , burgundy gloss lipstick, Purple Velvet Robe with Fur Trim 
