shrouded, Thief, (  wearing  cape ), Sensation, Short, Lean, Oval Face, Fair Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Updo, augmented breasts, Drop earrings, fuchsia metallic lipstick, dragon lair
venerable, Paladin, (  wearing  beanie ), Artist, Tall, Lean, Square Face, Olive Skin, Brunette Hair, hazel Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Updo, large breasts, Drop earrings, orange metallic lipstick, underground dungeon
arcane, Summoner, (  wearing  scarf ), Heiress, Short, Athletic, Oval Face, Tan Skin, Strawberry Blonde Hair, Blue Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, perky breasts, Huggie earrings, peach matte lipstick, haunted mansion
elusive, Monk, (  wearing  glasses ), Luminary, Tall, Skinny, Round Face, Tan Skin, Honey Blonde Hair, turquoise Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Low Ponytail, large breasts, Cuff earrings, coral velvet lipstick, desert oasis
numinous, Ranger, (  wearing  tie ), Goddess, Short, Toned, Heart-Shaped Face, Tan Skin, Red Hair, coral Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Side French Braid, asymmetrical breasts, Faux gauge earrings, violet metallic lipstick, forest clearing
supernatural, Elementalist, (  wearing  bandana ), Lady, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Chestnut Hair, gold Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Blunt Cut Bangs, asymmetrical breasts, Huggie earrings, violet gloss lipstick, forest clearing
shadowy, Monk, (  wearing  monocle ), Dame, Short, Thin, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, Sapphire Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Voluminous Waves, round breasts, Huggie earrings, pink satin lipstick, desert oasis
mysterious, Barbarian, (  wearing  cape ), Femme fatale, Short, Narrow Hips, Oval Face, Tan Skin, Silver Hair, coral Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Straight Bob, saggy breasts, Clip-on earrings, grape sheer lipstick, dragon lair
enchanted, Necromancer, (  wearing  fedora ), Gal, Short, Slim, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, purple Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Braided Headband, small breasts, Threader earrings, fuchsia cream lipstick, dragon lair
talismanic, Sorcerer, (  wearing  bandana ), Woman, Average Height, Toned, Heart-Shaped Face, Fair Skin, Auburn Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Messy Beach Waves, asymmetrical breasts, Faux gauge earrings, peach cream lipstick, sunken ruins
charmed, Rogue, (  wearing  tie ), Seductress, Short, Thin, Heart-Shaped Face, Tan Skin, Dark Brown Hair, amethyst Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Curly Hair, Low Updo, firm breasts, Dangle earrings, light pink satin lipstick, underground dungeon
uncanny, Elementalist, (  wearing  bandana ), Enchantress, Tall, in shape, Oval Face, Olive Skin, Red Hair, silver Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Curly Hair, Donut Bun, augmented breasts, Stud earrings, peach stain lipstick, frozen tundra
epic, Thief, (  wearing  shawl ), Enchantress, Short, Slim, Heart-Shaped Face, Fair Skin, Brunette Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Braid, small breasts, Drop earrings, lavender stain lipstick, frozen tundra
ghostly, Monk, (  wearing  beanie ), Lady, Average Height, Narrow Hips, Heart-Shaped Face, Olive Skin, Red Hair, dark brown Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, firm breasts, Cuff earrings, green gloss lipstick, sunken ruins
transcendent, Cleric, (  wearing  poncho ), Belle, Short, Firm, Heart-Shaped Face, Olive Skin, Dark Brown Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Straight Updo, full breasts, Threader earrings, hot pink velvet lipstick, desert oasis
immortal, Elementalist, (  wearing  glasses ), Siren, Short, Lean, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, teal Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Ballerina Bun, round breasts, Threader earrings, hot pink matte lipstick, frozen tundra
charmed, Ranger, (  wearing  poncho ), Miss, Tall, Thin, Square Face, Fair Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Stacked Bob, round breasts, Faux gauge earrings, burgundy metallic lipstick, frozen tundra
otherworldly, Rogue, (  wearing  shawl ), Charmer, Tall, Fit, Square Face, Tan Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, saggy breasts, Threader earrings, plum velvet lipstick, sunken ruins
phantasmal, Paladin, (  wearing  bandana ), Babe, Short, Slim, Round Face, Tan Skin, Red Hair, green Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, large breasts, Dangle earrings, orange velvet lipstick, medieval castle
mystical, Thief, (  wearing  bow tie ), Goddess, Tall, Toned, Square Face, Dark Skin, Red Hair, coral Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, round breasts, Stud earrings, violet stain lipstick, frozen tundra
spellbinding, Paladin, (  wearing  beanie ), Mistress, Short, Firm, Oval Face, Tan Skin, Dark Brown Hair, ice blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Sleek Bun, round breasts, Clip-on earrings, berry sheer lipstick, forest clearing
numinous, Barbarian, (  wearing  tiara ), Enigma, Average Height, Skinny, Round Face, Dark Skin, Brunette Hair, ruby Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, round breasts, Dangle earrings, golden satin lipstick, forest clearing
enchanting, Rogue, (  wearing  beret ), Enigma, Tall, Slim, Square Face, Tan Skin, Gray Hair, dark brown Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fluffy Afro, perky breasts, Drop earrings, fuchsia metallic lipstick, frozen tundra
fey, Sorcerer, (  wearing  poncho ), Diva, Short, in shape, Diamond-Shaped Face, Olive Skin, Chestnut Hair, turquoise Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Messy Bun, full breasts, Clip-on earrings, mauve sheer lipstick, enchanted garden
astral, Rogue, (  wearing  cowboy hat ), Charmer, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Blonde Hair, pink Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, asymmetrical breasts, Threader earrings, plum cream lipstick, desert oasis
numinous, Barbarian, (  wearing  cowboy hat ), Female Viking, Tall, Thin, Oval Face, Tan Skin, Black Hair, hazel Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Blunt Bangs, perky breasts, Hoop earrings, soft pink cream lipstick, dragon lair
fabled, Druid, (  wearing  fedora ), Chanteuse, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Silver Hair, teal Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, Herringbone Braid, soft breasts, Drop earrings, grape velvet lipstick, forest clearing
ancient, Illusionist, (  wearing  poncho ), Maven, Tall, in shape, Round Face, Dark Skin, Honey Blonde Hair, yellow Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, large breasts, Threader earrings, berry velvet lipstick, underground dungeon
ancient, Necromancer, (  wearing  poncho ), Seductress, Average Height, Thin, Round Face, Fair Skin, Gray Hair, grey Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Straight Updo, saggy breasts, Huggie earrings, cream sheer lipstick, desert oasis
ghostly, Alchemist, (  wearing  umbrella ), Mistress, Short, Toned, Heart-Shaped Face, Olive Skin, Blonde Hair, black Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Formal Braided Updo, asymmetrical breasts, Hoop earrings, black metallic lipstick, desert oasis
charmed, Ranger, (  wearing  tiara ), Artist, Tall, Slim, Diamond-Shaped Face, Fair Skin, White Hair, hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Straight Hair, Half Up Half Down, large breasts, Huggie earrings, magenta cream lipstick, frozen tundra
spectral, Alchemist, (  wearing  bucket hat ), Babe, Tall, Firm, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, peach Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Swept Bangs, augmented breasts, Threader earrings, fuchsia velvet lipstick, sunken ruins
elusive, Monk, (  wearing  tiara ), Seductress, Average Height, Wide Hips, Square Face, Fair Skin, Gray Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Swept Bangs, full breasts, Threader earrings, magenta sheer lipstick, underground dungeon
illustrious, Wizard, (  wearing  umbrella ), Artist, Average Height, Slim, Triangular Face, Tan Skin, Auburn Hair, amber Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Wavy Layered Bob, saggy breasts, , orange cream lipstick, mountain peak
supernatural, Cleric, (  wearing  headband ), Queen, Average Height, Toned, Round Face, Dark Skin, Dark Brown Hair, green Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Straight Updo, augmented breasts, Clip-on earrings, soft pink matte lipstick, dragon lair
celestial, Thief, (  wearing  sunglasses ), Temptress, Average Height, Thin, Square Face, Dark Skin, White Hair, grey-blue Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Dangle earrings, mauve velvet lipstick, sunken ruins
divine, Alchemist, (  wearing  glasses ), Seductress, Short, Toned, Triangular Face, Fair Skin, Golden Blonde Hair, light blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Messy Beach Waves, firm breasts, Hoop earrings, plum stain lipstick, forest clearing
immortal, Sorcerer, (  wearing  beret ), Queen, Average Height, Toned, Heart-Shaped Face, Dark Skin, Red Hair, Blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bouncy Curls, soft breasts, Faux gauge earrings, beige gloss lipstick, desert oasis
mysterious, Knight, (  wearing  headband ), Babe, Short, in shape, Oval Face, Olive Skin, Golden Blonde Hair, gold Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Bob with Bangs, asymmetrical breasts, Hoop earrings, golden cream lipstick, medieval castle
otherworldly, Thief, (  wearing  top hat ), Enchantress, Tall, Skinny, Triangular Face, Olive Skin, Auburn Hair, amber Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, small breasts, Stud earrings, golden matte lipstick, forest clearing
enchanting, Assassin, (  wearing  umbrella ), Empress, Tall, Firm, Oval Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, High Messy Bun, large breasts, Stud earrings, berry sheer lipstick, sunken ruins
wondrous, Warrior, (  wearing  turban ), Dame, Short, Toned, Square Face, Fair Skin, Blonde Hair, dark brown Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Stacked Bob, large breasts, Cuff earrings, red matte lipstick, mountain peak
shrouded, Summoner, (  wearing  bandana ), Gal, Tall, Skinny, Triangular Face, Olive Skin, Blonde Hair, silver Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Swept Bangs, saggy breasts, Clip-on earrings, magenta matte lipstick, mountain peak
dreamlike, Paladin, (  wearing  hat ), Countess, Tall, Narrow Hips, Square Face, Dark Skin, Strawberry Blonde Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, full breasts, Threader earrings, rose satin lipstick, forest clearing
elusive, Bard, (  wearing  scarf ), Empress, Average Height, Lean, Square Face, Olive Skin, Golden Blonde Hair, coral Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Angled Bob, natural breasts, Huggie earrings, cherry stain lipstick, enchanted garden
transcendent, Bard, (  wearing  crown ), Songstress, Tall, Thin, Triangular Face, Dark Skin, Silver Hair, grey-blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, perky breasts, Huggie earrings, black metallic lipstick, enchanted garden
supernatural, Enchanter, (  wearing  mask ), Trailblazer, Short, in shape, Round Face, Dark Skin, Chestnut Hair, gold Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Loose Waves, natural breasts, Huggie earrings, mauve matte lipstick, haunted mansion
sorcerous, Assassin, (  wearing  scarf ), Duchess, Tall, Skinny, Triangular Face, Fair Skin, Gray Hair, Gray Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Loose Waves, saggy breasts, Drop earrings, burgundy metallic lipstick, medieval castle
shrouded, Bard, (  wearing  cape ), Madame, Tall, Wide Hips, Round Face, Dark Skin, Blonde Hair, turquoise Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Boho Braid, natural breasts, Hoop earrings, violet stain lipstick, enchanted garden
phantasmal, Wizard, (  wearing  crown ), Countess, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Frohawk, round breasts, Clip-on earrings, peach sheer lipstick, enchanted garden
daemonic, Necromancer, (  wearing  fedora ), Songstress, Tall, Lean, Heart-Shaped Face, Tan Skin, Silver Hair, aquamarine Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Beach Waves, natural breasts, Stud earrings, beige sheer lipstick, desert oasis
antediluvian, Bard, (  wearing  hat ), Miss, Short, Skinny, Square Face, Fair Skin, Dark Brown Hair, ruby Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Fauxhawk, firm breasts, , plum satin lipstick, sunken ruins
transcendent, Alchemist, (  wearing  shawl ), Sensation, Average Height, Fit, Oval Face, Fair Skin, Red Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bun, full breasts, Stud earrings, light pink gloss lipstick, desert oasis
ethereal, Enchanter, (  wearing  cape ), Superwoman, Average Height, Firm, Square Face, Tan Skin, Blonde Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Four-Strand Braid, perky breasts, , red gloss lipstick, mountain peak
supernatural, Wizard, (  wearing  bucket hat ), Chanteuse, Short, Toned, Triangular Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, saggy breasts, Cuff earrings, pink sheer lipstick, sunken ruins
divine, Alchemist, (  wearing  fedora ), Madam, Average Height, Athletic, Triangular Face, Olive Skin, Honey Blonde Hair, coral Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Bouncy Curls, round breasts, Faux gauge earrings, violet cream lipstick, sunken ruins
magical, Necromancer, (  wearing  crown ), Phenom, Average Height, Toned, Square Face, Olive Skin, Light Brown Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, perky breasts, Drop earrings, violet gloss lipstick, enchanted garden
eldritch, Ranger, (  wearing  monocle ), Woman, Tall, Wide Hips, Round Face, Tan Skin, Red Hair, light blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Boho Braid, asymmetrical breasts, , hot pink sheer lipstick, mountain peak
mystical, Bard, (  wearing  tiara ), Female Warrior, Average Height, Toned, Triangular Face, Tan Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, firm breasts, Faux gauge earrings, plum gloss lipstick, haunted mansion
numinous, Monk, (  wearing  tiara ), Babe, Tall, Slim, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, jade Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown, asymmetrical breasts, Stud earrings, fuchsia stain lipstick, desert oasis
otherworldly, Necromancer, (  wearing  bandana ), Siren, Short, Slim, Round Face, Dark Skin, Red Hair, teal Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, High Messy Bun, large breasts, , gloss metallic lipstick, forest clearing
illustrious, Monk, (  wearing  monocle ), Female Warrior, Short, Lean, Heart-Shaped Face, Olive Skin, Dark Brown Hair, Hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Sleek Straight Hair, saggy breasts, Clip-on earrings, peach velvet lipstick, sunken ruins
wondrous, Knight, (  wearing  turban ), Diva, Tall, Slim, Round Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Viking Braid, small breasts, Dangle earrings, black gloss lipstick, enchanted garden
arcane, Wizard, (  wearing  crown ), Visionary, Short, Fit, Heart-Shaped Face, Fair Skin, Dark Brown Hair, ruby Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Long Wavy Hair, firm breasts, Stud earrings, burgundy gloss lipstick, haunted mansion
primeval, Monk, (  wearing  headband ), Sensation, Tall, Lean, Round Face, Olive Skin, Light Brown Hair, brown Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, augmented breasts, Huggie earrings, teal cream lipstick, haunted mansion
timeless, Barbarian, (  wearing  bowler hat ), Temptress, Tall, Fit, Round Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Short Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Fluffy Afro, small breasts, Cuff earrings, orange gloss lipstick, sunken ruins
timeless, Summoner, (  wearing  crown ), Visionary, Average Height, Wide Hips, Square Face, Tan Skin, Dark Brown Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo, perky breasts, Cuff earrings, orange stain lipstick, haunted mansion
beguiling, Thief, (  wearing  scarf ), Temptress, Average Height, Wide Hips, Triangular Face, Tan Skin, Honey Blonde Hair, grey-blue Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Messy Bun, perky breasts, Clip-on earrings, burgundy sheer lipstick, forest clearing
mystical, Barbarian, (  wearing  crown ), Goddess, Short, Lean, Diamond-Shaped Face, Fair Skin, Black Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Long Curly Hair, perky breasts, Threader earrings, cherry matte lipstick, dragon lair
ethereal, Thief, (  wearing  bow tie ), Maven, Average Height, Skinny, Round Face, Olive Skin, Blonde Hair, Gray Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Middle Part Bangs, augmented breasts, Clip-on earrings, violet satin lipstick, dragon lair
mystical, Druid, (  wearing  bandana ), Gal, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, peach Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Fine Hair, Sleek Straight Hair, augmented breasts, Stud earrings, plum stain lipstick, mountain peak
numinous, Monk, (  wearing  bucket hat ), Madame, Average Height, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, light blue Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, small breasts, Faux gauge earrings, teal satin lipstick, desert oasis
wondrous, Cleric, (  wearing  mask ), Mistress, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Light Brown Hair, amethyst Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Low Messy Bun, small breasts, , lavender cream lipstick, dragon lair
